No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"876","SWPFF","Swire Properties Limited","17.01B","2.945","1.03%","2.07B"
"877","TISCY","Taisei Corporation","17.00B","22.70","-1.03%","14.26B"
"878","BNCDY","Banca Mediolanum S.p.A.","16.93B","44.98","-","2.87B"
"879","PTAIF","PT Astra International Tbk","16.91B","0.410","20.06%","19.66B"
"880","PTAIY","PT Astra International Tbk","16.91B","8.46","-0.70%","19.66B"
"881","KKPNF","Koninklijke KPN N.V.","16.87B","4.410","-0.23%","6.78B"
"882","KKPNY","Koninklijke KPN N.V.","16.87B","4.460","-0.22%","6.78B"
"883","VDMCY","Vodacom Group Limited","16.86B","8.75","-0.34%","9.28B"
"884","VODAF","Vodacom Group Limited","16.86B","7.88","-4.47%","9.28B"
"885","UFGSY","Unipol Assicurazioni S.p.A.","16.85B","12.23","2.77%","12.38B"
"886","DQJCF","Pan Pacific International Holdings Corporation","16.82B","5.89","-3.13%","15.34B"
"887","DQJCY","Pan Pacific International Holdings Corporation","16.82B","11.35","0.89%","15.34B"
"888","CJEWF","Chow Tai Fook Jewellery Group Limited","16.73B","1.650","-","11.47B"
"889","CJEWY","Chow Tai Fook Jewellery Group Limited","16.73B","18.00","-","11.47B"
"890","EGFEY","Eurobank S.A.","16.69B","2.100","1.45%","3.61B"
"891","TLSNF","Telia Company AB (publ)","16.66B","4.100","-","9.47B"
"892","TLSNY","Telia Company AB (publ)","16.66B","8.43","-0.24%","9.47B"
"893","RPGRY","REA Group Limited","16.62B","31.08","-4.35%","1.24B"
"894","ZHAOF","Zhaojin Mining Industry Company Limited","16.58B","3.990","9.92%","2.23B"
"895","LFABF","Lifco AB (publ)","16.47B","36.25","-3.85%","2.95B"
"896","LFCBY","Lifco AB (publ)","16.47B","17.95","-","2.95B"
"897","AHCHF","Anhui Conch Cement Company Limited","16.44B","2.760","-","11.82B"
"898","AHCHY","Anhui Conch Cement Company Limited","16.44B","14.53","-2.02%","11.82B"
"899","TRMLF","Tourmaline Oil Corp.","16.43B","42.34","-0.45%","3.14B"
"900","NHYDY","Norsk Hydro ASA","16.42B","8.37","-0.24%","21.61B"
"901","NHYKF","Norsk Hydro ASA","16.42B","8.03","2.03%","21.61B"
"902","IMPUF","Impala Platinum Holdings Limited","16.25B","18.00","-6.49%","4.81B"
