No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"228","ARCC","Ares Capital Corporation","14.96B","20.91","-0.40%","3.02B"
"229","GH","Guardant Health, Inc.","14.80B","114.85","2.56%","902.57M"
"230","VTRS","Viatris Inc.","14.78B","12.83","-0.08%","14.12B"
"231","ERIE","Erie Indemnity Company","14.75B","282.11","-0.34%","4.04B"
"232","NWSA","News Corporation","14.71B","26.43","-1.01%","8.50B"
"233","NXT","Nextpower Inc.","14.61B","98.47","-0.18%","3.37B"
"234","TSEM","Tower Semiconductor Ltd.","14.51B","128.98","4.02%","1.51B"
"235","LECO","Lincoln Electric Holdings, Inc.","14.43B","262.30","-0.48%","4.18B"
"236","RGC","Regencell Bioscience Holdings Limited","14.33B","28.97","-3.63%","-"
"237","ICLR","ICON Public Limited Company","14.24B","186.48","2.15%","8.10B"
"238","LOGI","Logitech International S.A.","14.20B","95.59","-1.05%","4.68B"
"239","CELH","Celsius Holdings, Inc.","13.97B","54.18","1.21%","2.13B"
"240","JKHY","Jack Henry & Associates, Inc.","13.77B","190.28","-0.51%","2.42B"
"241","MKSI","MKS Inc.","13.68B","203.71","-0.76%","3.83B"
"242","PAA","Plains All American Pipeline, L.P.","13.65B","19.36","1.60%","46.92B"
"243","AKAM","Akamai Technologies, Inc.","13.54B","94.14","2.85%","4.13B"
"244","LAMR","Lamar Advertising Company","13.51B","133.41","0.47%","2.25B"
"245","DPZ","Domino's Pizza, Inc.","13.51B","399.75","-2.28%","4.85B"
"246","GLPI","Gaming and Leisure Properties, Inc.","13.43B","46.13","2.45%","1.58B"
"247","SMMT","Summit Therapeutics Inc.","13.40B","17.38","0.64%","-"
"248","VNOM","Viper Energy, Inc.","13.38B","37.23","-0.24%","1.13B"
"249","GLXY","Galaxy Digital Inc.","13.37B","34.22","6.97%","23.73B"
"250","NBIX","Neurocrine Biosciences, Inc.","13.35B","133.94","0.44%","2.68B"
"251","BILI","Bilibili Inc.","13.34B","32.17","-2.88%","4.18B"
"252","NVMI","Nova Ltd.","13.23B","446.05","2.65%","852.72M"
"253","REG","Regency Centers Corporation","13.22B","70.98","1.62%","1.58B"
"254","PSKY","Paramount Skydance Corporation","13.05B","11.89","0.51%","28.73B"
"255","NTNX","Nutanix, Inc.","12.95B","47.90","-1.58%","2.62B"
"256","HST","Host Hotels & Resorts, Inc.","12.87B","18.48","0.03%","5.95B"
"257","ZBRA","Zebra Technologies Corporation","12.86B","253.75","-1.97%","5.26B"
