No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"327","BRO","Brown & Brown, Inc.","27.29B","79.94","0.23%","5.35B"
"328","TDY","Teledyne Technologies Incorporated","27.15B","578.36","1.52%","6.01B"
"329","FE","FirstEnergy Corp.","27.14B","46.98","0.87%","14.28B"
"330","PPL","PPL Corporation","27.09B","36.62","2.55%","8.98B"
"331","STZ","Constellation Brands, Inc.","27.01B","155.77","-1.88%","9.38B"
"332","TPR","Tapestry, Inc.","26.97B","131.78","-0.96%","7.21B"
"333","EFX","Equifax Inc.","26.84B","219.29","0.04%","5.94B"
"334","TSCO","Tractor Supply Company","26.75B","50.62","-0.22%","15.40B"
"335","JBL","Jabil Inc.","26.60B","251.93","-0.49%","31.11B"
"336","FSLR","First Solar, Inc.","26.37B","245.75","0.87%","5.05B"
"337","CFG","Citizens Financial Group, Inc.","26.33B","61.30","1.14%","7.44B"
"338","STE","STERIS plc","26.31B","268.06","-0.07%","5.70B"
"339","ES","Eversource Energy","26.17B","69.76","0.09%","13.15B"
"340","HUBB","Hubbell Incorporated","26.07B","490.54","1.33%","5.69B"
"341","WRB","W. R. Berkley Corporation","26.05B","68.56","-0.22%","14.65B"
"342","AWK","American Water Works Company, Inc.","26.00B","133.27","-0.06%","5.07B"
"343","CNP","CenterPoint Energy, Inc.","25.86B","39.61","0.75%","9.11B"
"344","AVB","AvalonBay Communities, Inc.","25.67B","181.50","0.39%","3.07B"
"345","BR","Broadridge Financial Solutions, Inc.","25.61B","219.42","0.03%","7.06B"
"346","VLTO","Veralto Corporation","25.54B","102.87","-0.30%","5.45B"
"347","CINF","Cincinnati Financial Corporation","25.41B","162.90","-0.29%","12.08B"
"348","PHM","PulteGroup, Inc.","25.33B","129.96","-2.19%","17.62B"
"349","STLD","Steel Dynamics, Inc.","25.29B","173.18","-1.10%","17.63B"
"350","WSM","Williams-Sonoma, Inc.","25.05B","209.83","-0.08%","7.91B"
"351","OMC","Omnicom Group Inc.","25.03B","79.57","-1.57%","16.07B"
"352","DRI","Darden Restaurants, Inc.","24.78B","215.25","0.43%","12.58B"
