No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"271","CPNG","Coupang, Inc.","38.85B","21.27","0.09%","33.66B"
"272","CUK","Carnival Corporation & plc","38.70B","28.91","-1.20%","26.62B"
"273","CCL","Carnival Corporation & plc","38.16B","29.06","-1.29%","26.62B"
"274","RMD","ResMed Inc.","37.78B","259.40","-0.50%","5.26B"
"275","FICO","Fair Isaac Corporation","37.46B","1,576.24","-0.31%","1.99B"
"276","SYY","Sysco Corporation","37.35B","78.00","-1.49%","82.03B"
"277","ED","Consolidated Edison, Inc.","37.28B","103.30","0.70%","16.59B"
"278","MT","ArcelorMittal S.A.","37.13B","48.64","0.48%","61.10B"
"279","NOK","Nokia Oyj","37.04B","6.55","-0.91%","23.17B"
"280","VTR","Ventas, Inc.","36.84B","77.85","1.21%","5.54B"
"281","KEYS","Keysight Technologies, Inc.","36.76B","213.97","-0.25%","5.38B"
"282","TEVA","Teva Pharmaceutical Industries Limited","36.54B","31.85","-1.55%","16.78B"
"283","STT","State Street Corporation","36.38B","130.26","-4.42%","13.63B"
"284","VEEV","Veeva Systems Inc.","36.28B","220.71","0.80%","3.08B"
"285","HIG","The Hartford Insurance Group, Inc.","36.19B","129.86","-0.73%","27.92B"
"286","CLS","Celestica Inc.","36.04B","312.50","-0.33%","11.28B"
"287","XYL","Xylem Inc.","35.42B","145.49","0.47%","8.89B"
"288","WEC","WEC Energy Group, Inc.","35.30B","108.51","0.32%","9.55B"
"289","OTIS","Otis Worldwide Corporation","35.30B","90.57","0.24%","14.31B"
"290","BE","Bloom Energy Corporation","35.00B","148.00","6.34%","1.82B"
"291","SLF","Sun Life Financial Inc.","34.76B","63.32","0.99%","24.76B"
"292","IR","Ingersoll Rand Inc.","34.73B","87.90","0.66%","7.46B"
"293","BBD","Banco Bradesco S.A.","34.48B","3.535","0.71%","16.51B"
"294","BBDO","Banco Bradesco S.A.","34.48B","3.038","0.25%","16.51B"
"295","PCG","PG&E Corporation","34.45B","15.68","-0.67%","24.76B"
"296","CIEN","Ciena Corporation","34.26B","243.20","-0.24%","4.77B"
"297","CVE","Cenovus Energy Inc.","34.14B","18.25","0.88%","37.06B"
"298","RJF","Raymond James Financial, Inc.","34.00B","172.42","0.50%","14.02B"
"299","IX","ORIX Corporation","33.83B","30.62","0.31%","20.51B"
"300","LYV","Live Nation Entertainment, Inc.","33.72B","145.22","-0.35%","24.57B"
"301","FLUT","Flutter Entertainment plc","33.59B","191.71","-4.66%","15.44B"
"302","UI","Ubiquiti Inc.","33.29B","550.29","-0.58%","2.76B"
"303","HUM","Humana Inc.","33.27B","276.62","-2.58%","126.36B"
"304","EXR","Extra Space Storage Inc.","32.96B","148.73","1.09%","3.42B"
"305","FIS","Fidelity National Information Services, Inc.","32.91B","63.55","0.16%","10.46B"
"306","DG","Dollar General Corporation","32.80B","149.01","-1.79%","42.12B"
"307","FMX","Fomento Económico Mexicano, S.A.B. de C.V.","32.80B","100.63","-2.28%","45.23B"
"308","NTR","Nutrien Ltd.","32.80B","66.25","-2.33%","25.67B"
"309","COHR","Coherent Corp.","32.75B","191.84","-2.10%","6.04B"
"310","KVUE","Kenvue Inc.","32.73B","17.09","-1.01%","15.01B"
"311","MTB","M&T Bank Corporation","32.70B","212.75","0.08%","9.19B"
"312","CHT","Chunghwa Telecom Co., Ltd.","32.68B","42.21","0.13%","7.73B"
